,hq
0,0.2732710370295195
1,0.2705018565797398
2,0.26847348279269123
3,0.2667880147315074
4,0.26575814194722147
5,0.26503324985015264
6,0.26254185117148093
7,0.2618679870445273
8,0.26160001861815624
9,0.2612526629600724
10,0.2609490103991074
11,0.26080384873518137
12,0.26025871476286105
13,0.2597346592608176
14,0.25878360345353585
15,0.25752133150079803
16,0.25621478071319576
17,0.25471484209508843
18,0.25281277573241384
19,0.2506506757662444
20,0.24797088524746394
21,0.24500641362505332
22,0.2416389887952126
23,0.23821879139268448
24,0.23426191071382133
25,0.2295895510833448
26,0.22447189113184665
27,0.21770030338139912
28,0.21099331824324002
29,0.20348903991903158
30,0.19541335768831472
31,0.1873572652916043
32,0.17991252531025387
33,0.17212801805091427
34,0.16604237198812274
35,0.16349666071856073
36,0.16329621616332082
37,0.16577243894369495
38,0.1704244609524747
39,0.17855781176718952
40,0.1867715726133819
41,0.19342536673097238
42,0.20264845912873883
43,0.21235982706668513
44,0.21740105401216414
45,0.22653316915104177
46,0.2345978722509503
47,0.24443624328545885
48,0.25474886121404305
49,0.2651599782345022
50,0.27425275658320836
51,0.28375489433756784
52,0.29075033510652637
53,0.29746501088040983
54,0.3019670267406021
55,0.30505273039161956
56,0.30528975519675544
57,0.30394018879163537
58,0.2918432340839805
59,0.28908232861388095
60,0.2773118652893526
61,0.27966725490263816
62,0.2816241341724658
63,0.2622404278381164
64,0.2472754998866775
65,0.23854078084429062
66,0.24003162752802312
67,0.24982365019690167
68,0.24914011985113874
69,0.2508680313266089
70,0.25712922523054654
71,0.26692023363299705
72,0.2772815565793676
73,0.28516864476947046
74,0.29487387801654963
75,0.3033641334668872
76,0.3124725978998515
77,0.32149249935649343
78,0.33138715853883927
79,0.34231403144324063
80,0.3525727292017351
81,0.36343688113661177
82,0.37400669221631194
83,0.3838488353579237
84,0.3921708346464472
85,0.3992516616372497
86,0.40579841650005044
87,0.41276538338978175
88,0.4183778196234339
89,0.4233607413362176
90,0.42821959480341903
91,0.4320628899061402
92,0.435529728464976
93,0.4388564714221735
94,0.4441456308305182
95,0.44946449119593657
96,0.4543555300192307
97,0.45961709167652287
98,0.4641105556179893
99,0.46791892813117847
100,0.47122785793416944
101,0.4749191073762853
102,0.4772381953977231
103,0.4798073974607672
104,0.4819709429814277
105,0.48393856967096555
106,0.48542758601787667
107,0.4856041166383617
108,0.48518647270889237
109,0.48529373671804366
110,0.4849331119245846
111,0.4860044194920279
112,0.48651135915553295
113,0.48596219177038386
114,0.48430903052034024
115,0.48378518005692633
116,0.4825614538507653
117,0.4809856864312503
118,0.479205820323517
119,0.4776243959132966
120,0.475683461747429
121,0.4742158904698425
122,0.4727816846142116
123,0.4706880115982301
124,0.46921780586890693
125,0.4671722228489715
126,0.46566065822326463
127,0.4635825763867463
128,0.4618405856176713
129,0.46030816302641936
130,0.4591035051880775
131,0.4594235813102758
132,0.4599623663611156
133,0.4601390035724424
134,0.46053130038876033
135,0.4616937130952221
136,0.462967525084578
137,0.464643466101445
138,0.4661391722568777
139,0.4682907635538408
140,0.47069588690089165
141,0.473508494015385
142,0.47641260091385684
143,0.4792970568438315
144,0.4824949590838214
145,0.48590260381737976
146,0.4892791429785137
147,0.491577809316915
148,0.49380609616950716
149,0.49631624967101634
150,0.4986868994325668
151,0.5010213150647784
152,0.5033775418357866
153,0.504501759240164
154,0.5055618751543198
155,0.5058001934008796
